jour,hospitalises,reanimation,deces,hosp_mm7,rea_mm7
2020-06-30,8491,574,19326,8824.0,602.0
2020-07-01,8291,554,19344,8686.0,591.0
2020-07-02,8103,545,19358,8544.0,580.0
2020-07-03,7946,533,19376,8417.0,569.0
2020-07-04,7863,517,19388,8295.0,558.0
2020-07-05,7863,521,19390,8171.0,548.0
2020-07-06,7806,521,19403,8052.0,538.0
2020-07-07,7550,511,19437,7917.0,529.0
2020-07-08,7254,503,19469,7769.0,522.0
2020-07-09,7134,486,19483,7631.0,513.0
2020-07-10,7020,471,19508,7499.0,504.0
2020-07-11,6995,470,19514,7375.0,498.0
2020-07-12,6991,473,19515,7250.0,491.0
2020-07-13,6941,467,19533,7126.0,483.0
2020-07-14,6907,465,19539,7035.0,476.0
2020-07-15,6873,457,19559,6980.0,470.0
2020-07-16,6754,456,19577,6926.0,466.0
2020-07-17,6646,452,19591,6872.0,463.0
2020-07-18,6614,450,19599,6818.0,460.0
2020-07-19,6583,448,19600,6760.0,456.0
2020-07-20,6547,442,19616,6703.0,453.0
2020-07-21,6440,430,19629,6637.0,448.0
2020-07-22,6324,420,19636,6558.0,443.0
2020-07-23,5915,411,19646,6438.0,436.0
2020-07-24,5678,385,19656,6300.0,427.0
2020-07-25,5634,368,19664,6160.0,415.0
2020-07-26,5640,367,19665,6025.0,403.0
2020-07-27,5614,374,19673,5892.0,394.0
2020-07-28,5510,361,19688,5759.0,384.0
2020-07-29,5409,356,19703,5629.0,375.0
2020-07-30,5334,357,19719,5546.0,367.0
2020-07-31,5257,347,19730,5485.0,361.0
2020-08-01,5177,344,19736,5420.0,358.0
2020-08-02,5188,345,19737,5356.0,355.0
2020-08-03,5157,360,19759,5290.0,353.0
2020-08-04,5121,364,19770,5235.0,353.0
2020-08-05,5107,360,19779,5192.0,354.0
2020-08-06,5019,366,19786,5147.0,355.0
2020-08-07,4970,359,19798,5106.0,357.0
2020-08-08,4981,366,19800,5078.0,360.0
2020-08-09,4992,368,19800,5050.0,363.0
2020-08-10,5004,372,19814,5028.0,365.0
2020-08-11,4971,367,19829,5006.0,365.0
2020-08-12,4850,355,19846,4970.0,365.0
2020-08-13,4824,351,19863,4942.0,363.0
2020-08-14,4788,344,19881,4916.0,360.0
2020-08-15,4817,353,19884,4892.0,359.0
2020-08-16,4820,353,19885,4868.0,356.0
2020-08-17,4885,361,19904,4851.0,355.0
2020-08-18,4783,357,19920,4824.0,353.0
2020-08-19,4781,362,19937,4814.0,354.0
2020-08-20,4723,368,19949,4800.0,357.0
2020-08-21,4720,367,19972,4790.0,360.0
2020-08-22,4685,368,19980,4771.0,362.0
2020-08-23,4683,371,19981,4751.0,365.0
2020-08-24,4664,387,19996,4720.0,369.0
2020-08-25,4578,401,20016,4691.0,375.0
2020-08-26,4535,373,20034,4655.0,376.0
2020-08-27,4517,375,20046,4626.0,377.0
2020-08-28,4517,381,20065,4597.0,379.0
2020-08-29,4512,394,20071,4572.0,383.0
2020-08-30,4517,396,20075,4549.0,387.0
2020-08-31,4564,403,20104,4534.0,389.0
2020-09-01,4586,418,20123,4535.0,391.0
2020-09-02,4614,440,20148,4547.0,401.0
2020-09-03,4625,458,20168,4562.0,413.0
2020-09-04,4653,467,20186,4582.0,425.0
2020-09-05,4667,476,20198,4604.0,437.0
2020-09-06,4697,480,20201,4629.0,449.0
2020-09-07,4889,531,20226,4676.0,467.0
2020-09-08,4942,568,20265,4727.0,489.0
2020-09-09,4985,593,20295,4780.0,510.0
2020-09-10,5077,608,20314,4844.0,532.0
2020-09-11,5136,628,20354,4913.0,555.0
2020-09-12,5176,655,20371,4986.0,580.0
2020-09-13,5228,662,20377,5062.0,606.0
2020-09-14,5479,705,20411,5146.0,631.0
2020-09-15,5660,752,20447,5249.0,658.0
2020-09-16,5800,796,20493,5365.0,687.0
2020-09-17,5825,793,20543,5472.0,713.0
2020-09-18,5800,820,20665,5567.0,740.0
2020-09-19,5493,827,20690,5612.0,765.0
2020-09-20,5356,834,20701,5630.0,790.0
2020-09-21,5597,912,20754,5647.0,819.0
2020-09-22,5777,944,20821,5664.0,847.0
2020-09-23,5913,995,20864,5680.0,875.0
2020-09-24,6012,1041,20916,5707.0,910.0
2020-09-25,6110,1092,20971,5751.0,949.0
2020-09-26,6154,1105,21010,5846.0,989.0
2020-09-27,6235,1112,21037,5971.0,1029.0
2020-09-28,6397,1158,21118,6085.0,1064.0
2020-09-29,6482,1198,21177,6186.0,1100.0
2020-09-30,6572,1232,21240,6280.0,1134.0
2020-10-01,6634,1259,21303,6369.0,1165.0
2020-10-02,6740,1270,21350,6459.0,1191.0
2020-10-03,6740,1289,21393,6543.0,1217.0
2020-10-04,6964,1335,21425,6647.0,1249.0
2020-10-05,7276,1409,21494,6773.0,1285.0
2020-10-06,7377,1417,21556,6900.0,1316.0
2020-10-07,7514,1406,21636,7035.0,1341.0
2020-10-08,7603,1418,21712,7173.0,1363.0
2020-10-09,7843,1439,21774,7331.0,1388.0
2020-10-10,7976,1456,21828,7508.0,1411.0
2020-10-11,8231,1483,21874,7689.0,1433.0
2020-10-12,8671,1539,21969,7888.0,1451.0
2020-10-13,8928,1633,22053,8109.0,1482.0
2020-10-14,9173,1664,22157,8346.0,1519.0
2020-10-15,9584,1741,22245,8629.0,1565.0
2020-10-16,10021,1791,22367,8941.0,1615.0
2020-10-17,10399,1868,22456,9287.0,1674.0
2020-10-18,10897,1939,22541,9668.0,1739.0
2020-10-19,11640,2090,22687,10092.0,1818.0
2020-10-20,12435,2168,22849,10593.0,1894.0
2020-10-21,13162,2239,23012,11163.0,1977.0
2020-10-22,14009,2310,23174,11795.0,2058.0
2020-10-23,14985,2432,23358,12504.0,2149.0
2020-10-24,15637,2491,23495,13252.0,2238.0
2020-10-25,16454,2575,23611,14046.0,2329.0
2020-10-26,17761,2761,23868,14920.0,2425.0
